Subject,System,ticket_id
NetWorks! USM SQL loading error & PM Data Duplication Issue,USM,aa410fe6-7dbc-4981-9617-f4065ee689a1
[SVR19.A.0 Orange Romania Cluj-Napoca]-[NR Service OFF]-[FMP CPU Load Abnormal Value] Possible GCB1 issue?,Distributed Unit,3b052dd6-fafd-4678-9b76-08b24dede408
RAID/Disk failure observed in Birmingham LSM 1,Operation System Support,8bf80527-019d-4c0d-a6ea-70b9f24dc3f4
[SVR20A][Networks! Poland][Erab Setup success rate lower post swap],Distributed Unit,484b4d57-3dbf-4364-be37-f534b48cebe0
Servers with /homw directory over 90% disk usage,Operation System Support,4221f4f9-a481-4300-8bb2-8c94ea2efae0
SVR20C Poland Trial: Duplicate EUTRAN neighbour entries observed,Distributed Unit,bc511432-93f9-4849-ae48-f86c287a24f1
SVR20C Poland Trial: Sleeping cell detection feature does not appear to work,,bdc9c131-4f92-4a59-a481-5d863d168950
SVR20C Poland Trial: eccb refork issue on eFix2.1 + lubp + CpSoLib,Distributed Unit,8da134b1-6078-43c4-bd14-81e9a120eeee
SAEGW - RADIUS  ACCOUNTING REQUEST   -  use of class field,Gateway General Packet Radio Service,589f17b8-3af0-4681-86e5-453d99ca6d11
Physical Disk got failed on Enclosure-0 Slot-2 in HH0LSM01,Operation System Support,e9e720c7-3d34-4c97-afa1-fb3fba008421
Samsung Latency Formula Issue,,ef8e62a6-55f6-49b2-adf6-00ea5e0dcddb
MEMORY OVERLOAD ALARM fluctuating on HH0MME01,C-MME/SGSN,70b954a5-5685-4f6d-97d6-537e159aae70
Physical disk failed (Enclosure-0 Slot-8) on MR0LSM02 in Manchester cluster,Operation System Support,c928c23f-e246-4afa-84c3-238ee761e321
[Play Poland Field Trial][SVR21B Orange Pkg][eNodeB][DSS Cells become unavailable from time to time with Service Off alarms],Distributed Unit,430b8dc3-cf5e-43a1-9ef7-e7f757c190f5
WT0112 Samsung site - sec A L18 cells down,,4043801b-d839-4a7c-9612-e33362d729bc
HTPMME01 RAID_MGMT interfaces down,C-MME/SGSN,f19a2e80-1c42-42c4-bb86-6e55eaf75669
SAEGW is offloading subscribers when IP Pool is hit by DDoS attacks,Gateway General Packet Radio Service,3385ddac-6f76-4d8b-bb23-7b33cd1f517c
S1 Issue on a cell level (UE- associated logical S1 connection Estabilishment) Ex: DO0164,,4eb13418-6dfc-423f-b6e2-c0f04708f180
Site failed to come up after Maya Migration,Distributed Unit,ec455b47-1c62-4f3e-a92e-01f7b25784f1
Raid/Etc got failed in Hemel-4 LSM HH0LSM04,Operation System Support,fb5e705e-0348-4e76-bd23-a6086fb80ca6
INIT-SCTP difference between sr8 and sr9,,097bb2ba-f6a2-4097-acf9-4d58362d13e3
H3G SLR9.0 P1 - Some Total PRB Usage family counters not pegging for UAMA,Distributed Unit,f9adfa55-82dc-4e23-8d73-8c2ac67f002c
3UK SLR9.0 P1:- S1_TUNNEL_GROUP_ID  (MAX_TGID_PER_SYS_CDD),Distributed Unit,3f6c8d72-ccad-4d16-bbf6-c6853ade26af
RADIUS ACCOUNT SERVER flapping several times,Gateway General Packet Radio Service,69f6fb13-d2bc-4866-8d9e-de9121bfbccd
RAID/Etc(H/W) Check Fail LSM 1 - M,Operation System Support,dab67598-b330-47f0-8683-f8ba73d2094e
CK0492 sec A L8 RSSI values vs report,RU,dad5a0d4-1f17-4131-ac19-aabb62202089
Largescale LSM Birmingham-4 Mangement server BM0LSM04_MS02 found in faulted state,Operation System Support,4ca4f83f-5f15-407e-8bdc-7848c6071001
VFUK_ENB_Logs,Distributed Unit,36a9246e-657d-4a44-978e-d465f654f2ca
[분석지원요청] Volte Call 시도 시 수신측 UE로 SIP Invite msg가 전달 되지 않음.,Distributed Unit,6e2952a9-5cc1-4ff5-a595-83e781f8f1b7
g connectivity issues across SAEGW04 - Swedish customer,Gateway General Packet Radio Service,5aee389a-5730-4fa8-8e8a-a1b95e451cc6
Loss of traffic / subscribers,Gateway General Packet Radio Service,c52aaf2a-fa57-4240-be11-50d5cfa37ef7
/Etc got failed in Birmingham-1 LSM BM0LSM01,Operation System Support,778173f9-0798-465d-ae05-f264cf669fcb
Unable to ssh Backup server in Birmingham-1 LSM BM0LSM1B.,Operation System Support,3d512434-2298-4c8e-a5ad-7f0db018381a
Service loss for L2100 & DSS2100,CaaS,b5ab2e69-b61a-49dc-bb19-513456f573c9
KPI Degradation observed | PM data retrieval required from 15th Feb 11:00 Hrs to 16th Feb 8:00 Hrs.,Operation System Support,a54c21bf-92bb-4155-a0a9-fa9220cc7680
A5765536R alarm on site 5905 ORU[2] didn't recover remotely,RU(Samsung),f959f97d-f4e5-4e1c-9443-5124dabc44e8
Default Password change FOA,Distributed Unit,d3e98b49-e484-45d2-99cd-3fb6648279ea
VFUK GC USM GUI PSM Pod Memory high usage alarm,USM,ce46dcf1-09e8-48aa-a2a0-f2da6436aa4b
Certificate Alarm in Samsung eNB,Distributed Unit,7dfb8a3d-6931-44c5-9b05-f7580682e890
